ASIN,Brand Name,GV(Q4 2025 ),Net Ordered Units(Q4 2025 ),Net Receipts (Units)(Q4 2025 ),Total Inventory Units(Q4 2025 ),Net Receipts($)(Q4 2025 ),Product GMS($)(Q4 2025 ),Gross Shipped GMS($)(Q4 2025 ),Net Ordered GMS($)(Q4 2025 ),Deal GMS($)(Q4 2025 ),Net PPM(Q4 2025 )(%),Amzn GV(Q4 2025 ),SoROOS(%)(Q4 2025 )(%),Daily SoRoos%(Q4 2025 )(%),Fill Rate - Sourceable(Q4 2025 )(%),Vendor Confirmation Rate - Sourceable(Q4 2025 )(%),Conversion Rate(Q4 2025 )(%),ASP(Q4 2025 ),CM(Q4 2025 )(%),CP($)(Q4 2025 ),CPPU(Q4 2025 ),PPM(Q4 2025 )(%),CCOGS As A % Of PCOGS(Q4 2025 )(%),CCOGS As A % Of Revenue(Q4 2025 )(%),External Box Price Competitiveness (% Of GV)(Q4 2025 )(%),IDQ Score(Q4 2025 )
B016BO719G,Whittaker,558,206,1264.00,738.00,7450.37,1069.68,1029.80,1039.70,703.63,33.51%,498,19.00%,19.00%,85.53%,100.00%,36.92%,5.22,3.60%,37.38,0.18,(12.96)%,44.19%,49.92%,81.89%,86.00
B083VKDQ3P,TATA,1095,351,1741.00,607.00,5232.88,1038.91,1027.59,1036.41,9.71,14.47%,992,3.96%,3.96%,89.83%,100.00%,32.05%,2.98,(33.43)%,-355.27,-1.02,(0.97)%,16.21%,16.37%,47.54%,100.00
B087GL45MC,Orion,883,211,364.00,75.00,2279.30,1035.49,1006.22,1006.30,809.36,25.74%,836,2.04%,2.04%,77.69%,100.00%,23.90%,4.91,(3.39)%,-35.33,-0.17,(27.60)%,44.04%,56.19%,100.00%,62.50
B002R1IWBO,The Jelly Bean Factory,325,227,168.00,17.00,691.11,1035.44,997.24,1016.67,0,29.74%,320,21.91%,21.91%,41.60%,94.22%,69.85%,4.64,(5.06)%,-50.08,-0.22,11.40%,26.09%,23.11%,68.90%,75.00
B00MWVY52O,TILDA,291,105,93.00,58.00,740.09,1013.25,1008.15,1008.23,264.22,33.78%,284,0.00%,0.00%,76.13%,100.00%,36.08%,9.65,16.56%,169.88,1.62,17.53%,21.20%,17.49%,50.18%,85.70
B019Z95UCO,General Mills,398,141,146.00,29.00,1131.65,1006.29,984.85,964.06,27.39,14.01%,271,25.06%,25.06%,56.18%,4.91%,35.43%,6.99,(14.70)%,-145.77,-1.01,(10.92)%,25.10%,27.85%,100.00%,0
B00JSCMGJ4,Gerber,436,160,200.00,27.00,1211.53,1003.49,997.25,997.40,264.67,35.55%,431,21.79%,21.79%,61.11%,50.94%,36.70%,6.27,6.09%,62.37,0.39,4.02%,33.87%,32.51%,0.00%,52.50
B07FD6XPLF,Wella Koleston,1272,371,412.00,44.00,2194.01,1002.12,1004.22,1011.15,147.91,48.72%,976,4.87%,4.87%,89.96%,69.36%,29.17%,2.75,2.98%,30.18,0.08,(93.27)%,73.91%,142.84%,51.55%,100.00
B07NF8TFJW,Namakin,453,364,577.00,7.00,1570.90,995.95,974.96,1004.11,211.73,37.75%,437,17.88%,17.88%,45.84%,96.71%,80.35%,2.81,(9.86)%,-99.58,-0.28,2.96%,39.02%,37.87%,88.42%,78.00
B0CHF7Q4M2,Costa dÓro,358,79,114.00,55.00,1319.07,972.56,935.08,914.23,250.40,25.45%,350,4.47%,4.47%,44.12%,100.00%,22.07%,12.01,(0.60)%,-5.46,-0.07,3.63%,25.87%,24.93%,0.00%,81.70
