ASIN,Customer review count,Raw star ratings,GL Product Group,Product subcategory code,Product subcategory desc,Ads Clicks,GL Description,GMS ($)
B08KZ6FMY9, 89, 4,325,32502040,Oils & Vinegars,,Grocery, 209.41
B0C66476XR, 1, 5,325,32502020,"Herbs, Spices, Sea",,Grocery, 67.5
B00F8ETXQ0, 11, 4,325,UNKNOWN,UNKNOWN,,Grocery, 28.14
B083VK1X8N, 17, 5,325,32592005,Tea,,Grocery, 641.41
B07PN2Q5H7, 8, 4,325,32599015,Nuts,,Grocery, 180.95
B07NF98DQL, 5, 4,325,32599015,Nuts,,Grocery, 70.45
B00A0BDB4G, 12, 5,325,32595015,Vegetables,,Grocery, 300.07
B083VKRRWG, 23, 4,325,32592005,Tea,,Grocery, 113.79
B07NF7T22C, 6, 4,325,32599015,Nuts,,Grocery, 44.47
B083VK2HQH, 19, 5,194,UNKNOWN,UNKNOWN,,Beauty," 1,746.21"
B07PCMG31N, 23, 4,325,32595015,Vegetables,,Grocery, 34.64
B07HFFC729, 13, 5,325,32501040,Fillings,,Grocery, 680.41
B0BF63SVGB,,,325,32550065,"Honey, Preserves & Spread",,Grocery, 28.24
B07HNSPY84, 19, 4,325,32592005,Tea,,Grocery," 2,267.84"
