ASIN,Brand Name,List Price($)(T12M ),Product GMS($)(T12M ),Deal GMS($)(T12M ),Net PPM(T12M )(%),GV(T12M ),Amzn GV(T12M ),SoROOS(%)(T12M )(%),Daily SoRoos%(T12M )(%),Fill Rate - Sourceable(T12M )(%),Vendor Confirmation Rate - Sourceable(T12M )(%),ASP(T12M ),CM(T12M )(%),CP($)(T12M ),Net Receipts($)(T12M ),Net Receipts (Units)(T12M ),CCOGS As A % Of PCOGS(T12M )(%),PPM(T12M )(%),External Box Price Competitiveness (% Of GV)(T12M )(%),Net Ordered Units(T12M ),Customer Returns($)(T12M ),IDQ Score(T12M )
B0B8GMD5W2,Kannan Devan,7.94,1510.35,0,(47.90)%,2384,2078,8.00%,8.00%,96.71%,96.95%,2.69,(118.53)%,-1801.25,6300.85,1385.00,13.67%,(69.28)%,93.51%,562,18.20,82.50
B00L2ZLGQE,American Garden,3.98,1443.61,6.98,23.10%,4256,4033,1.03%,1.03%,95.77%,82.28%,3.74,(30.27)%,-410.98,2764.81,817.00,18.41%,9.51%,21.28%,386,20.30,90.50
B0847NQFB6,Al Osra,1.62,1423.79,34.59,25.87%,1636,1575,13.03%,13.03%,71.68%,99.43%,1.59,(60.33)%,-886.98,1388.90,1074.00,13.20%,18.44%,0.00%,901,10.35,92.90
B07P8QBGF6,Eminence,1.55,1422.07,0,(1.27)%,12003,11396,2.80%,2.80%,96.89%,90.11%,1.04,(116.82)%,-1712.11,4807.53,3831.00,18.27%,(20.12)%,18.75%,1362,11.27,93.00
B07PHYKW9T,American Garden,6.63,1403.65,129.98,11.94%,2602,2418,3.24%,3.24%,97.01%,100.00%,5.18,(22.62)%,-317.30,3001.73,536.00,20.52%,(8.12)%,32.12%,271,11.20,94.50
B00L2ZKJ3A,American Garden,3.67,1380.61,114.01,15.93%,2251,1723,6.20%,6.20%,92.58%,82.04%,2.86,(45.26)%,-615.92,4697.10,1681.00,18.76%,1.61%,54.99%,483,11.20,98.30
B0749NNYF5,Ching's Secret,2.44,1376.95,0,24.26%,1553,1391,19.21%,19.21%,85.17%,84.26%,2.31,(48.19)%,-658.04,1480.35,779.00,14.26%,17.61%,39.23%,600,5.70,84.20
B00L2ZKGHE,American Garden,5.51,1359.34,117.43,23.99%,3742,3357,3.19%,3.19%,80.03%,79.46%,5.15,(20.77)%,-280.06,2459.20,527.00,18.48%,9.37%,31.58%,267,14.00,98.50
B07G9D3B8F,TILDA,4.70,1324.64,726.30,21.52%,1297,1240,2.88%,2.88%,97.89%,99.02%,4.14,(21.27)%,-271.67,4283.35,898.00,34.27%,(15.23)%,56.55%,320,23.85,83.70
B07NF6MPF7,American Garden,2.06,1309.15,12.27,23.23%,668,629,4.04%,4.04%,93.33%,100.00%,1.96,(38.31)%,-515.28,1090.62,623.00,18.50%,10.54%,52.07%,669,1.75,96.70
