ASIN,Brand Name,GV(Week 2 ),Net Ordered Units(Week 2 ),Net Receipts (Units)(Week 2 ),Total Inventory Units(Week 2 ),Net Receipts($)(Week 2 ),Product GMS($)(Week 2 ),Gross Shipped GMS($)(Week 2 ),Net Ordered GMS($)(Week 2 ),Deal GMS($)(Week 2 ),Net PPM(Week 2 )(%),Amzn GV(Week 2 ),SoROOS(%)(Week 2 )(%),Daily SoRoos%(Week 2 )(%),Fill Rate - Sourceable(Week 2 )(%),Vendor Confirmation Rate - Sourceable(Week 2 )(%),Conversion Rate(Week 2 )(%),ASP(Week 2 ),CM(Week 2 )(%),CP($)(Week 2 ),CPPU(Week 2 ),PPM(Week 2 )(%),CCOGS As A % Of PCOGS(Week 2 )(%),CCOGS As A % Of Revenue(Week 2 )(%),External Box Price Competitiveness (% Of GV)(Week 2 )(%),IDQ Score(Week 2 )
B07NF7MR14,Tetley,35,18,286.00,278.00,1417.13,126.64,127.79,96.33,0,10.55%,34,22.86%,22.86%,33.90%,100.00%,51.43%,4.69,(36.38)%,-48.40,-1.79,(5.64)%,15.92%,16.82%,82.14%,100.00
B0028UQ5VI,Gerber,43,21,0.00,184.00,0.00,124.28,124.28,119.80,0,28.24%,42,0.00%,0.00%,0.00%,100.00%,48.84%,5.65,(5.47)%,-7.01,-0.32,4.00%,25.25%,24.24%,55.26%,94.20
B0B82VTXNL,Mr Makhana,36,44,32.00,684.00,77.97,123.93,115.60,128.03,0,74.22%,32,0.00%,0.00%,0.00%,100.00%,122.22%,3.10,43.13%,50.92,1.27,21.35%,76.00%,59.77%,25.00%,78.20
B00RUCFLR8,Foster Clarks,296,192,108.00,1259.00,65.57,122.29,122.42,119.66,0,11.47%,273,0.00%,0.00%,0.00%,100.00%,64.86%,0.62,(116.33)%,-156.17,-0.79,2.19%,10.93%,10.69%,29.96%,89.40
B07G9L7NL2,TILDA,68,28,268.00,510.00,1130.94,121.97,122.62,123.28,0,20.87%,63,0.00%,0.00%,100.00%,100.00%,41.18%,4.36,(15.41)%,-19.40,-0.69,3.13%,18.50%,17.92%,16.07%,93.20
B003XXD1O8,Gerber,42,24,0.00,49.00,0.00,120.68,118.62,118.62,0,8.65%,40,0.00%,0.00%,0.00%,0.00%,57.14%,5.03,(15.44)%,-18.82,-0.78,(20.47)%,25.25%,30.42%,28.95%,76.20
B00DIREC0Q,La Molisana,49,39,138.00,630.00,375.71,119.79,110.52,107.58,0,27.38%,49,0.00%,0.00%,0.00%,0.00%,79.59%,2.99,(15.65)%,-18.89,-0.47,9.09%,23.00%,20.91%,0.00%,81.00
B07BYNX1P6,La Molisana,45,33,216.00,2135.00,426.35,119.68,115.22,122.34,0,61.07%,45,0.00%,0.00%,42.86%,100.00%,73.33%,4.27,36.60%,42.97,1.53,53.82%,23.77%,10.98%,42.22%,97.00
B08H6P5677,Mr Makhana,30,43,92.00,252.00,224.17,118.72,114.53,107.47,0,72.43%,24,0.00%,0.00%,33.33%,100.00%,143.33%,2.58,37.30%,43.77,0.95,5.59%,76.00%,71.75%,51.85%,78.20
B0D2P6KRB1,Tata Soulfull,160,25,102.00,626.00,425.99,118.00,118.44,113.92,0,22.07%,152,0.00%,0.00%,30.45%,100.00%,15.63%,4.54,(14.88)%,-18.05,-0.69,7.98%,15.94%,14.67%,44.81%,67.50
